problem size,num_proc,runtime
1000000,1,0.240943
1000000,1,0.247497
1000000,1,0.220112
1000000,1,0.215899
1000000,1,0.216325
1000000,1,0.216598
1000000,1,0.216204
1000000,1,0.218581
1000000,1,0.216264
1000000,1,0.218016
1000000,2,0.128896
1000000,2,0.136876
1000000,2,0.102373
1000000,2,0.101001
1000000,2,0.099937
1000000,2,0.102293
1000000,2,0.099876
1000000,2,0.105436
1000000,2,0.097336
1000000,2,0.102008
1000000,4,0.092596
1000000,4,0.077463
1000000,4,0.071707
1000000,4,0.064683
1000000,4,0.064965
1000000,4,0.064005
1000000,4,0.061102
1000000,4,0.060126
1000000,4,0.074705
1000000,4,0.060271
1000000,8,0.058664
1000000,8,0.050088
1000000,8,0.054352
1000000,8,0.051475
1000000,8,0.068114
1000000,8,0.055734
1000000,8,0.054266
1000000,8,0.046623
1000000,8,0.051280
1000000,8,0.057613
1000000,12,0.076511
1000000,12,0.061761
1000000,12,0.054595
1000000,12,0.051734
1000000,12,0.067347
1000000,12,0.051635
1000000,12,0.088813
1000000,12,0.069660
1000000,12,0.065782
1000000,12,0.060403
1000000,14,0.087766
1000000,14,0.064358
1000000,14,0.053280
1000000,14,0.073173
1000000,14,0.077882
1000000,14,0.062424
1000000,14,0.084963
1000000,14,0.067302
1000000,14,0.061401
1000000,14,0.068304
1000000,16,0.056466
1000000,16,0.080400
1000000,16,0.065437
1000000,16,0.070099
1000000,16,0.056777
1000000,16,0.079598
1000000,16,0.063256
1000000,16,0.074561
1000000,16,0.070268
1000000,16,0.058810
1000000,18,0.076364
1000000,18,0.081135
1000000,18,0.093449
1000000,18,0.056588
1000000,18,0.058703
1000000,18,0.081087
1000000,18,0.058950
1000000,18,0.076967
1000000,18,0.061932
1000000,18,0.050546
1000000,20,0.066993
1000000,20,0.074313
1000000,20,0.044593
1000000,20,0.052923
1000000,20,0.067395
1000000,20,0.054216
1000000,20,0.058809
1000000,20,0.057853
1000000,20,0.053537
1000000,20,0.060699
20000000,1,5.217810
20000000,1,5.112184
20000000,1,4.826142
20000000,1,4.564358
20000000,1,5.218999
20000000,1,4.674561
20000000,1,4.828331
20000000,1,4.558412
20000000,1,4.861934
20000000,1,4.834853
20000000,2,2.354755
20000000,2,2.354257
20000000,2,2.431865
20000000,2,2.358383
20000000,2,2.351180
20000000,2,2.415681
20000000,2,2.389559
20000000,2,2.381162
20000000,2,2.377720
20000000,2,2.362461
20000000,4,1.546131
20000000,4,1.491552
20000000,4,1.345231
20000000,4,1.469992
20000000,4,1.364271
20000000,4,1.506152
20000000,4,1.270074
20000000,4,1.662395
20000000,4,1.444353
20000000,4,1.467012
20000000,8,0.933384
20000000,8,1.036910
20000000,8,1.034176
20000000,8,1.030414
20000000,8,1.024118
20000000,8,1.122815
20000000,8,1.198380
20000000,8,0.945801
20000000,8,1.038120
20000000,8,0.944577
20000000,12,0.824791
20000000,12,0.971565
20000000,12,0.766769
20000000,12,1.070203
20000000,12,0.827598
20000000,12,0.869753
20000000,12,0.843299
20000000,12,0.823701
20000000,12,0.930316
20000000,12,0.780292
20000000,14,0.773772
20000000,14,1.088925
20000000,14,0.790602
